relationships,age_last_milestone_year,milestones,Top500,age,relation10,age_first_milestone_year,Has_roundABCD,funding_rounds,has_roundB,milesto_4,million
0,0.0,0,0,11.2,0,0.0,0,1,0,0,0.0
16,8.2849,2,1,10.0,1,1.0027,0,4,1,1,0.0
8,1.9151,1,1,5.0,0,1.9151,0,1,0,1,0.0
4,0.0,0,1,8.98,0,0.0,0,1,0,0,0.0
6,3.0,1,1,6.57,0,3.0,0,1,0,1,0.0
13,5.1863,2,1,5.42,1,4.6685,0,1,0,1,0.0
12,2.2055,2,1,5.0,1,1.4493,1,2,1,1,0.0
10,4.7507,3,1,5.25,0,0.6082,0,3,0,1,0.0
6,1.7479,2,1,3.42,0,1.2685,0,2,0,1,0.0
7,4.0877,2,1,5.0,0,3.8301,0,1,0,1,0.0
5,3.4575,3,1,8.0,0,2.3452,0,1,0,1,0.0
8,7.9863,3,1,8.08,0,4.5562,1,4,1,1,0.0
22,10.6493,3,1,13.13,1,10.1342,1,3,1,1,1.0
1,0.0,0,1,8.66,0,0.0,0,1,1,0,0.0
13,0.0,0,1,13.34,1,0.0,1,3,1,0,0.0
9,4.5096,3,0,4.75,0,1.611,0,2,0,1,0.0
3,2.1781,2,0,5.0,0,1.5096,1,4,1,1,0.0
10,4.8384,2,1,6.25,0,4.6822,1,2,1,1,1.0
2,10.7342,1,1,14.0,0,10.7342,0,1,0,1,0.0
14,5.3123,4,1,8.0,1,3.1507,1,3,1,0,0.0
12,6.9123,6,1,7.95,1,4.5151,1,3,1,0,1.0
6,1.1123,2,1,1.53,0,1.0301,0,3,0,1,0.0
3,14.0329,2,1,14.58,0,12.5041,1,3,1,1,0.0
21,7.189,3,1,9.0,1,5.5205,1,4,1,1,1.0
2,6.0027,1,1,13.0,0,6.0027,0,5,0,1,0.0
17,4.0192,4,1,4.84,1,2.8384,1,4,1,0,1.0
21,9.211,2,1,10.58,1,7.9205,1,4,1,1,0.0
15,7.3068,3,1,7.91,1,5.7507,0,1,0,1,0.0
7,9.1863,2,1,13.0,0,4.0027,1,5,1,1,0.0
24,10.0082,3,1,14.0,1,0.337,1,3,1,1,0.0
4,5.3425,2,1,10.0,0,3.0027,1,2,1,1,0.0
5,3.0027,3,1,6.0,0,1.5836,0,1,0,1,0.0
4,9.8356,2,1,12.0,0,8.0055,0,1,0,1,0.0
1,0.0,1,0,1.59,0,0.0,0,1,0,1,0.0
6,2.0,1,1,9.0,0,2.0,1,2,1,1,0.0
5,2.5041,1,1,5.5,0,2.5041,0,5,0,1,0.0
4,0.0,0,1,9.0,0,0.0,0,3,0,0,0.0
7,6.0466,2,0,6.75,0,4.7562,0,1,0,1,0.0
5,2.0,1,1,8.0,0,2.0,0,1,0,1,0.0
6,1.1616,2,1,3.33,0,1.1014,0,2,0,1,0.0
3,2.0027,1,1,11.0,0,2.0027,0,3,1,1,0.0
5,7.0055,1,0,10.41,0,7.0055,0,2,0,1,0.0
3,1.4822,1,0,3.67,0,1.4822,0,1,0,1,0.0
0,0.0,0,1,4.41,0,0.0,0,2,0,0,0.0
12,3.8356,2,1,5.0,1,0.7589,1,2,1,1,0.0
2,0.0,0,1,8.39,0,0.0,0,2,1,0,0.0
16,8.3342,3,1,11.0,1,6.9671,0,2,0,1,0.0
28,9.5863,1,0,12.0,1,9.5863,0,3,0,1,0.0
2,4.0027,1,1,10.0,0,4.0027,1,3,1,1,0.0
5,4.0027,2,0,4.75,0,3.2192,0,1,0,1,0.0
4,1.1616,1,0,3.91,0,1.1616,0,3,0,1,0.0
4,3.2767,3,1,5.0,0,2.0,0,2,0,1,0.0
7,0.0,0,1,9.0,0,0.0,0,3,1,0,0.0
9,11.3288,2,1,14.0,0,8.0055,0,1,0,1,0.0
8,2.4986,2,1,2.0,0,2.4274,0,2,0,1,0.0
9,5.0027,1,1,13.0,0,5.0027,0,2,0,1,0.0
3,0.7562,2,0,1.5,0,0.0,0,1,0,1,0.0
